ID	MonsterName	HeadIcon	ModelID	walkAnimName	IdleAnimName	HurtAnimName	HurtAnimTime	DieAnimName	ShowAniName	DropOutID	movespeed	Radius	hp	lv	power	att	def	hprecover	crit	critdamage	ignoredef	hpabsorb	tough	IsOnlyDamageValue	BloodHight	AttackList	SkillList	AIConfig	VisableArea
Mon_bf_15	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	10776	16		472	325	0	482	472	0	0	482	FALSE	-0.05	kenshi	firebat_xianji_4		
Mon_bf_16	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	12822	17		564	388	0	577	564	0	0	577	FALSE	-0.05	kenshi	firebat_xianji_4		
Mon_bf_17	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	14868	18		656	451	0	672	656	0	0	672	FALSE	-0.05	kenshi	firebat_xianji_5		
Mon_bf_18	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	16914	19		748	514	0	767	748	0	0	767	FALSE	-0.05	kenshi	firebat_xianji_5		
Mon_bf_19	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	18960	20		840	580	0	860	840	0	0	860	FALSE	-0.05	kenshi	firebat_xianji_5		
Mon_bf_20	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	21533	21		934	664	0	948	934	0	0	948	FALSE	-0.05	kenshi	firebat_xianji_5		
Mon_bf_21	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	25106	22		1043	763	0	1056	1043	0	0	1056	FALSE	-0.05	kenshi	firebat_xianji_6		
Mon_bf_22	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	29679	23		1167	877	0	1184	1167	0	0	1184	FALSE	-0.05	kenshi	firebat_xianji_6		
Mon_bf_23	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	35252	24		1306	1006	0	1332	1306	0	0	1332	FALSE	-0.05	kenshi	firebat_xianji_6		
Mon_bf_24	火蝠魔		Mon_bf_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	41828	25		1460	1150	0	1500	1460	0	0	1500	FALSE	-0.05	kenshi	firebat_xianji_6		
Mon_hby_00	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	276	1		40	8	2	10	40	0	0	10	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_01	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	400	2		52	12	5	18	52	0	0	18	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_02	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	526	3		64	16	8	26	64	0	0	26	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_03	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	650	4		76	20	11	34	76	0	0	34	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_04	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	778	5		88	24	14	42	88	0	0	42	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_05	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	850	6		117	41	24	62	117	0	0	62	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_06	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	1350	7		146	58	34	82	146	0	0	82	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_07	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	2080	8		175	75	44	102	175	0	0	102	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_08	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	3140	9		204	92	54	122	204	0	0	122	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_09	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	4169	10		230	112	64	142	230	0	0	142	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_10	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	5519	11		280	147	96	191	280	0	0	191	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_11	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	6869	12		330	182	128	240	330	0	0	240	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_12	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	8219	13		380	217	160	289	380	0	0	289	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_13	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	9569	14		430	252	192	338	430	0	0	338	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_14	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	10919	15		480	286	224	387	480	0	0	387	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_15	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	13476	16		604	344	263	482	604	0	0	482	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_16	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	16033	17		728	402	302	577	728	0	0	577	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_17	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	18590	18		852	460	341	672	852	0	0	672	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_18	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	21147	19		976	518	380	767	976	0	0	767	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_19	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	23704	20		1100	578	419	860	1100	0	0	860	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_20	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	26259	16		1240	684	469	948	1240	0	0	948	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_21	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	30314	17		1410	805	534	1056	1410	0	0	1056	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_22	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	35869	18		1610	941	614	1184	1610	0	0	1184	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_23	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	42924	19		1830	1092	709	1332	1830	0	0	1332	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_hby_24	寒冰妖		Mon_hby_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	51480	20		2100	1260	821	1500	2100	0	0	1500	FALSE	-0.05	hanbingyao_bingjian	hanbingbaozha	{"MoveConfig":{"MaxDistance":10,"MinDistance":3,"Close":false},"AttackConfig":{},"SkillConfig":[{},{},{},{}]}	
Mon_ssg_00	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	180	1		30	5	0	10	30	0	0	10	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_01	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	256	2		39	8	0	18	39	0	0	18	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_02	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	331	3		48	11	0	26	48	0	0	26	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_03	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	406	4		57	14	0	34	57	0	0	34	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_04	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	482	5		66	17	0	42	66	0	0	42	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_05	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	812	6		92	33	0	62	92	0	0	62	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_06	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	1322	7		118	49	0	82	118	0	0	82	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_07	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	1932	8		144	65	0	102	144	0	0	102	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_08	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	2582	9		170	81	0	122	170	0	0	122	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_09	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	3300	10		196	98	0	142	196	0	0	142	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_10	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	4484	11		250	133	0	191	250	0	0	191	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_11	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	5668	12		304	168	0	240	304	0	0	240	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_12	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	6852	13		358	203	0	289	358	0	0	289	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_13	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	8036	14		412	238	0	338	412	0	0	338	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_14	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	9218	15		468	272	0	387	468	0	0	387	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_15	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	11228	16		560	330	0	482	560	0	0	482	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_16	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	13238	17		652	388	0	577	652	0	0	577	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_17	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	15248	18		744	446	0	672	744	0	0	672	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_18	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	17258	19		836	504	0	767	836	0	0	767	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_19	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	19268	20		928	562	0	860	928	0	0	860	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_20	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	21819	21		1052	632	0	948	1052	0	0	948	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_21	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	25370	22		1206	712	0	1056	1206	0	0	1056	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_22	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	29921	23		1390	802	0	1184	1390	0	0	1184	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_23	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	35472	24		1604	902	0	1332	1604	0	0	1332	FALSE	-0.05	zhuaji	qinbao		
Mon_ssg_24	食尸鬼		Mon_ssg_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	1.5	42021	25		1848	1012	0	1500	1848	0	0	1500	FALSE	-0.05	zhuaji	qinbao		
Mon_bsr_00	半兽人		Mon_bsr_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	2	180	1		20	10	0	10	20	0	0	10	FALSE	-0.05	banshouren_huikan	zaisheng		Circle_5
Mon_bsr_01	半兽人		Mon_bsr_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	2	256	2		27	16	0	18	27	0	0	18	FALSE	-0.05	banshouren_huikan	zaisheng		Circle_5
Mon_bsr_02	半兽人		Mon_bsr_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	2	331	3		34	22	0	26	34	0	0	26	FALSE	-0.05	banshouren_huikan	zaisheng		Circle_5
Mon_bsr_03	半兽人		Mon_bsr_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	2	406	4		41	28	0	34	41	0	0	34	FALSE	-0.05	banshouren_huikan	zaisheng		Circle_5
Mon_bsr_04	半兽人		Mon_bsr_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	2	482	5		48	34	0	42	48	0	0	42	FALSE	-0.05	banshouren_huikan	zaisheng		Circle_5
Mon_bsr_05	半兽人		Mon_bsr_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	2	812	6		71	54	0	62	71	0	0	62	FALSE	-0.05	banshouren_huikan	zaisheng		Circle_5
Mon_bsr_06	半兽人		Mon_bsr_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	2	1322	7		94	74	0	82	94	0	0	82	FALSE	-0.05	banshouren_huikan	zaisheng		Circle_5
Mon_bsr_07	半兽人		Mon_bsr_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	2	1932	8		117	94	0	102	117	0	0	102	FALSE	-0.05	banshouren_huikan	zaisheng		Circle_5
Mon_bsr_08	半兽人		Mon_bsr_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	2	2582	9		140	114	0	122	140	0	0	122	FALSE	-0.05	banshouren_huikan	zaisheng		Circle_5
Mon_bsr_09	半兽人		Mon_bsr_00	xingzou	daiji	shoushang	0.2	siwang	show	jinbi	3	2	3300	10		166	132	0	142	166	0	0	142	FALSE	-0.05	banshouren_huikan	zaisheng		Circle_5
