id	item1	num1	rate1	item2	num2	rate2	item3	num3	rate3	item4	num4	rate4	item5	num5	rate5	item6	num6	rate6	item7	num7	rate7	item8	num8	rate8	item9	num9	rate9	item10	num10	rate10
1036	201	1	1000	212	1	1000	301	3	2000	211	3	2000	201	1	2000	591	1	2000	0	0	0	0	0	0	0	0	0	0	0	0
1037	201	5	1000	212	1	1000	511	1	1000	521	1	1000	531	1	1000	541	1	1000	551	1	1000	581	1	1000	591	1	1000	0	0	0
1038	201	1	1000	511	1	1000	521	1	1000	211	1	1000	211	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1000
1039	101	300	1000	201	1	2000	211	1	2000	303	5	1000	511	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1040	201	1	1000	212	1	3000	301	1	1000	303	1	1000	305	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1041	201	1	2000	212	1	2000	301	1	1000	303	1	1000	305	1	1000	201	1	1000	511	1	1000	521	1	1000	0	0	0	0	0	0
1042	201	1	2000	212	1	2000	301	1	1000	303	1	1000	305	1	1000	591	1	1000	581	1	1000	551	1	1000	0	0	0	0	0	0
1043	201	1	2000	212	1	2000	301	1	1000	303	1	1000	305	1	1000	521	1	1000	531	1	1000	541	1	1000	0	0	0	0	0	0
1044	201	1	2000	212	1	2000	301	1	1000	303	1	1000	305	1	1000	211	1	1000	201	1	1000	511	1	1000	0	0	0	0	0	0
1045	201	3	1000	211	2	1000	212	1	1000	301	2	1000	303	2	1000	305	2	1000	201	1	1000	511	1	1000	0	0	0	0	0	0
1046	201	3	1000	211	2	1000	212	1	1000	301	2	1000	303	2	1000	305	2	1000	511	1	1000	201	1	1000	0	0	0	0	0	0
1047	201	3	1000	211	2	1000	212	1	1000	301	2	1000	303	2	1000	305	2	1000	521	1	1000	531	1	1000	0	0	0	0	0	0
1048	201	3	1000	211	2	1000	212	1	1000	301	2	1000	303	2	1000	305	2	1000	551	1	1000	541	1	1000	0	0	0	0	0	0
1049	201	3	1000	211	2	1000	212	1	1000	301	2	1000	303	2	1000	305	2	1000	581	1	1000	591	1	1000	0	0	0	0	0	0
1050	201	3	1000	211	2	1000	212	1	1000	301	2	1000	303	2	1000	305	2	1000	201	1	1000	511	1	1000	0	0	0	0	0	0
1051	201	3	1000	211	2	1000	212	1	1000	301	2	1000	303	2	1000	305	2	1000	511	1	1000	201	1	1000	0	0	0	0	0	0
1052	201	3	1000	211	2	1000	212	1	1000	301	2	1000	303	2	1000	305	2	1000	521	1	1000	531	1	1000	0	0	0	0	0	0
1053	201	3	1000	211	2	1000	212	1	1000	301	2	1000	303	2	1000	305	2	1000	551	1	1000	541	1	1000	0	0	0	0	0	0
1054	201	3	1000	211	2	1000	212	1	1000	301	2	1000	303	2	1000	305	2	1000	581	1	1000	591	1	1000	0	0	0	0	0	0
1055	201	3	1000	211	2	1000	212	1	1000	301	2	1000	303	2	1000	305	2	1000	201	1	1000	511	1	1000	0	0	0	0	0	0
1056	201	3	1000	211	2	1000	212	1	1000	301	2	1000	303	2	1000	305	2	1000	511	1	1000	201	1	1000	0	0	0	0	0	0
1057	201	3	1000	211	2	1000	212	1	1000	301	2	1000	303	2	1000	305	2	1000	521	1	1000	531	1	1000	0	0	0	0	0	0
1058	201	3	1000	211	2	1000	212	1	1000	301	2	1000	303	2	1000	305	2	1000	551	1	1000	541	1	1000	0	0	0	0	0	0
1059	201	3	1000	211	2	1000	212	1	1000	301	2	1000	303	2	1000	305	2	1000	581	1	1000	591	1	1000	0	0	0	0	0	0
1060	100	180	3000	100	360	5000	100	540	1000	3200	1	1000	7100	1	1000	101	450	1000	4100	1	1000	6200	1	2000	0	0	0	0	0	0
1061	201	3	3000	202	1	1000	211	3	3000	212	1	1000	101	500	1000	100	100	1000	0	0	0	0	0	0	0	0	0	0	0	0
1062	100	100	1000	101	350	1000	541	1	800	521	1	800	201	1	800	511	1	800	551	1	800	0	0	0	0	0	0	0	0	0
1063	301	3	4000	303	3	4500	305	3	4000	100	100	2000	101	450	1000	201	3	1000	511	3	1000	0	0	0	0	0	0	0	0	0
1064	201	3	4000	511	3	4000	521	3	4000	531	3	4000	541	3	4000	551	3	4000	581	3	4000	591	3	4000	101	1000	1000	100	100	1000
1065	101	600	3000	101	800	5000	101	450	2000	102	1	3000	102	5	1000	100	100	2000	0	0	0	0	0	0	0	0	0	0	0	0
1066	100	100	4000	101	400	4000	3205	1	4000	6206	1	4000	1408	1	3000	5207	1	4000	8006	1	4000	0	0	0	0	0	0	0	0	0
1067	211	3	5000	212	3	2000	211	5	4000	211	1	7000	100	100	4000	101	400	3000	201	1	2000	301	1	2000	0	0	0	0	0	0
1068	100	200	3000	100	400	5000	100	600	2000	4200	1	2000	6100	1	2000	3100	1	2000	6000	1	2000	101	300	2000	0	0	0	0	0	0
1069	201	3	3000	202	3	2000	211	5	2000	212	2	2000	100	100	3000	101	500	2000	201	5	2000	211	3	3000	0	0	0	0	0	0
1070	211	2	4000	211	3	3000	211	5	2000	212	3	2000	212	5	1000	101	450	2000	100	100	2000	0	0	0	0	0	0	0	0	0
1071	201	1	4000	511	2	4000	521	2	4000	531	2	4000	541	2	4000	551	2	4000	581	2	4000	591	2	4000	101	400	2000	301	1	3000
1072	301	2	3000	301	5	4000	303	2	3000	303	5	4000	305	2	3000	305	5	4000	101	400	2000	100	100	2000	0	0	0	0	0	0
1073	201	2	3000	201	5	4000	201	3	2000	202	3	2000	202	5	1000	101	350	2000	100	100	2000	303	2	2000	0	0	0	0	0	0
1074	101	650	3000	101	850	5000	101	1100	4000	100	100	2000	102	1	3000	102	3	2000	100	200	2000	201	2	2000	0	0	0	0	0	0
1075	301	2	2000	303	1	2000	305	1	2000	6206	1	4000	4007	1	4000	8007	1	4000	1306	1	4000	7206	1	4000	1407	1	4000	0	0	0
2000	1208	1	10000	3208	1	10000	4008	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2001	1205	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2002	3204	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2003	4204	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2004	5204	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2005	6204	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2006	7204	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	8204	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	1305	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009	3104	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010	4104	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2011	5104	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2012	6104	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2013	7104	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2014	8104	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2015	1405	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2016	3004	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2017	4004	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2018	5004	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019	6004	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020	7004	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021	8004	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022	102	30	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023	511	1	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024	301	5	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2025	202	3	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026	102	1	9000	102	10	500	102	20	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2027	511	1	3000	511	2	3000	511	3	4000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2028	301	2	2000	301	3	5000	301	5	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2029	202	2	4000	202	4	1000	201	1	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2030	101	500	6000	101	1000	1000	101	2000	3000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
